"브랜드","차종","가격","연식","배기량","주행거리","색상","변속기","연료","선루프","LED헤드램프","어댑티드헤드램프","가죽시트","열선시트.앞좌석.","통풍시트","후방센서","스마트키","네비게이션.순정.","네비게이션.비순정.","전손유무","소유자.이전.횟수","침수유무"
"제네시스","GV80 3.5 터보 AWD 7인승",4840,"2020.07",3470,70057,2,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"현대","아반떼 N 2.0 터보",2799,"2022.09",1998,43837,3,1,1,1,0,0,0,0,0,0,0,0,0,0,"0",0
"기아","카니발 4세대 3.5 가솔린 9인승 하이리무진  시그니처",4980,"2022.04",3470,32899,2,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"기아","쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  프레스티지",3250,"2021.07",1598,61193,2,1,4,0,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 2.5 터보 AWD",5790,"2023.04",2497,12835,3,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","더 올 뉴 G80 2.5 터보",5090,"2021.01",2497,28886,3,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"기아","K8 3.5 AWD 플래티넘",3650,"2021.05",3470,34082,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","G70 2.0 터보 엘리트",2799,"2019.09",1998,32227,2,1,1,0,0,0,0,0,0,0,0,0,0,0,"0",0
"기아","더 뉴 모하비 3.0 디젤 AWD  프레지던트",2480,"2018.06",2959,74495,3,1,2,1,0,0,1,1,1,1,1,1,0,0,"0",0
"제네시스","G90 2세대 3.5 터보 AWD 프레스티지 컬렉션",9550,"2022.09",3470,27328,3,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","GV80 3.0 디젤 AWD 5인승",5250,"2020.11",2996,51345,1,1,2,0,1,1,1,1,1,1,1,1,0,0,"0",0
"현대","더 뉴 그랜저 2.5  캘리그래피",2940,"2020.08",2497,53117,1,1,1,0,1,1,1,1,1,1,1,1,0,0,"0",0
"제네시스","GV80 3.0 디젤 AWD 5인승",5390,"2020.05",2996,77441,3,1,2,0,1,1,1,1,1,1,1,1,0,0,"0",0
